score_differential,oneScoreGame,period,seconds_remaining,secondsInHalf,yardsToGoal,down,distance,play_type
7,TRUE,2,1870,70,93,1,10,Pass
0,TRUE,1,3368,1568,92,2,6,Pass
0,TRUE,2,2470,670,90,1,10,Pass
8,FALSE,1,2812,1012,87,1,20,Pass
-8,FALSE,2,2258,458,87,1,10,Pass
12,FALSE,3,1491,1491,86,2,7,Pass
-1,TRUE,3,1283,1283,86,3,21,Pass
35,FALSE,2,2149,349,86,2,6,Pass
19,FALSE,3,1477,1477,86,3,7,Pass
7,TRUE,1,2794,994,85,1,10,Pass
-1,TRUE,3,1316,1316,85,1,20,Pass
7,TRUE,1,2785,985,85,2,10,Pass
3,TRUE,1,2970,1170,85,3,5,Pass
14,FALSE,2,2377,577,84,3,2,Pass
-14,FALSE,2,2095,295,82,1,10,Pass
0,TRUE,1,3361,1561,82,2,8,Pass
17,FALSE,1,2795,995,82,2,11,Pass
0,TRUE,1,3323,1523,81,2,5,Pass
0,TRUE,3,1490,1490,81,2,9,Pass
15,FALSE,2,2272,472,80,2,7,Pass
-10,FALSE,2,2454,654,80,2,7,Pass
-18,FALSE,4,780,780,80,1,10,Pass
14,FALSE,2,2164,364,80,1,10,Pass
14,FALSE,3,1489,1489,80,1,10,Pass
15,FALSE,2,2265,465,80,3,7,Pass
-10,FALSE,2,2449,649,80,3,7,Pass
-3,TRUE,2,2176,376,80,2,9,Pass
-4,TRUE,3,900,900,80,1,10,Pass
-1,TRUE,2,1851,51,80,1,10,Pass
3,TRUE,4,630,630,80,1,10,Pass
3,TRUE,4,600,600,80,2,10,Pass
22,FALSE,2,1952,152,80,2,10,Pass
-14,FALSE,1,2962,1162,79,3,15,Pass
42,FALSE,2,1968,168,79,2,13,Pass
7,TRUE,2,1869,69,78,1,10,Pass
7,TRUE,2,1868,68,78,2,10,Pass
0,TRUE,2,2426,626,78,1,10,Pass
35,FALSE,2,2149,349,78,1,10,Pass
7,TRUE,2,2065,265,78,2,9,Pass
6,TRUE,3,1370,1370,78,3,13,Pass
0,TRUE,1,3000,1200,78,2,5,Pass
0,TRUE,2,2410,610,78,2,10,Pass
7,TRUE,2,2056,256,78,3,9,Pass
7,TRUE,2,1857,57,78,3,10,Pass
-7,TRUE,3,1455,1455,77,3,4,Pass
0,TRUE,2,2564,764,76,2,11,Pass
-21,FALSE,1,2785,985,76,1,10,Pass
6,TRUE,2,2070,270,76,1,10,Pass
35,FALSE,2,2480,680,76,1,10,Pass
14,FALSE,2,2206,406,76,2,11,Pass
7,TRUE,2,2605,805,75,1,10,Pass
11,FALSE,4,839,839,75,1,10,Pass
-4,TRUE,3,1003,1003,75,1,10,Pass
-18,FALSE,4,740,740,75,3,5,Pass
0,TRUE,3,1059,1059,75,1,10,Pass
10,FALSE,2,2370,570,75,1,10,Pass
-28,FALSE,2,2565,765,75,1,10,Pass
28,FALSE,3,1180,1180,75,1,10,Pass
23,FALSE,4,690,690,75,1,10,Pass
-21,FALSE,3,948,948,75,1,10,Pass
-3,TRUE,4,3,3,75,1,10,Pass
-4,TRUE,3,960,960,75,3,10,Pass
-21,FALSE,2,1818,18,75,1,10,Pass
-18,FALSE,4,730,730,75,4,5,Pass
6,TRUE,3,1795,1795,75,1,10,Pass
10,FALSE,1,2923,1123,75,1,10,Pass
-7,TRUE,2,2409,609,75,1,10,Pass
-7,TRUE,1,3340,1540,75,3,11,Pass
6,TRUE,3,1420,1420,75,1,10,Pass
-14,FALSE,1,2982,1182,74,1,10,Pass
-8,FALSE,2,2445,645,74,2,9,Pass
7,TRUE,1,3360,1560,74,1,10,Pass
0,TRUE,2,2380,580,74,3,6,Pass
-8,FALSE,2,2420,620,74,3,9,Pass
-1,TRUE,3,990,990,74,3,11,Pass
-18,FALSE,4,360,360,74,1,10,Pass
28,FALSE,3,1153,1153,73,2,8,Pass
4,TRUE,3,1760,1760,73,2,8,Pass
-1,TRUE,3,1070,1070,73,1,10,Pass
49,FALSE,3,955,955,72,2,7,Pass
-3,TRUE,3,1767,1767,72,3,7,Pass
-3,TRUE,3,1776,1776,72,2,7,Pass
4,TRUE,3,1491,1491,72,2,4,Pass
0,TRUE,1,3348,1548,72,2,8,Pass
0,TRUE,1,3273,1473,72,2,7,Pass
34,FALSE,3,1494,1494,72,2,9,Pass
4,TRUE,3,1484,1484,72,3,4,Pass
