score_differential,oneScoreGame,period,seconds_remaining,secondsInHalf,yardsToGoal,down,distance,play_type
-14,FALSE,3,1517,1517,31,1,10,Rush
-17,FALSE,3,1017,1017,23,1,10,Rush
0,TRUE,1,3600,1800,77,2,12,Rush
3,TRUE,2,2700,900,6,1,6,Rush
0,TRUE,1,3066,1266,10,1,10,Rush
14,FALSE,4,86,86,43,1,10,Rush
-12,FALSE,4,348,348,80,1,10,Rush
0,TRUE,2,2325,525,38,1,10,Rush
0,TRUE,1,3600,1800,79,2,14,Rush
-11,FALSE,3,1783,1783,80,1,10,Rush
3,TRUE,4,546,546,64,2,8,Pass
-1,TRUE,4,677,677,76,2,5,Rush
7,TRUE,2,2661,861,34,2,10,Rush
3,TRUE,1,3081,1281,52,1,10,Pass
7,TRUE,1,2993,1193,40,4,3,Pass
14,FALSE,2,2686,886,36,1,10,Pass
42,FALSE,4,900,900,66,2,1,Rush
13,FALSE,3,1024,1024,21,4,2,Rush
14,FALSE,2,1948,148,45,3,11,Rush
18,FALSE,4,462,462,52,1,10,Rush
7,TRUE,1,2987,1187,77,1,10,Pass
42,FALSE,4,339,339,69,2,7,Rush
12,FALSE,4,900,900,40,1,10,Rush
11,FALSE,2,1992,192,74,1,15,Rush
0,TRUE,1,3431,1631,53,1,10,Rush
-7,TRUE,1,3130,1330,99,1,10,Rush
-11,FALSE,2,2700,900,71,2,6,Rush
-3,TRUE,1,3072,1272,76,2,7,Rush
-32,FALSE,4,552,552,71,3,8,Rush
0,TRUE,2,2531,731,42,1,15,Pass
7,TRUE,1,3080,1280,34,3,5,Rush
0,TRUE,2,2408,608,21,1,10,Rush
-24,FALSE,4,71,71,71,2,6,Rush
1,TRUE,1,2961,1161,43,1,10,Rush
-18,FALSE,4,205,205,78,2,25,Rush
7,TRUE,4,416,416,77,2,12,Pass
7,TRUE,3,1793,1793,75,1,10,Pass
-7,TRUE,3,1515,1515,10,1,10,Rush
0,TRUE,3,1701,1701,31,1,10,Pass
7,TRUE,2,2151,351,36,2,7,Pass
14,FALSE,4,866,866,80,2,15,Pass
-25,FALSE,3,1448,1448,59,3,14,Pass
14,FALSE,3,1446,1446,75,1,10,Rush
-14,FALSE,3,1169,1169,4,2,4,Rush
-2,TRUE,4,143,143,80,1,10,Pass
0,TRUE,1,3600,1800,64,1,10,Pass
4,TRUE,4,471,471,39,2,8,Rush
-3,TRUE,1,2805,1005,42,2,5,Pass
-18,FALSE,4,629,629,69,2,2,Rush
-24,FALSE,3,1155,1155,61,1,10,Rush
-10,FALSE,3,1200,1200,87,3,6,Rush
3,TRUE,3,983,983,21,1,10,Rush
3,TRUE,1,3305,1505,19,1,10,Pass
17,FALSE,2,2025,225,61,1,10,Rush
-21,FALSE,3,1667,1667,70,4,13,Rush
-15,FALSE,4,392,392,53,1,10,Rush
0,TRUE,4,58,58,58,1,10,Rush
-14,FALSE,2,2357,557,6,4,1,Rush
-6,TRUE,2,2038,238,32,1,10,Rush
1,TRUE,3,1481,1481,30,3,7,Rush
24,FALSE,4,830,830,74,2,9,Pass
0,TRUE,1,3582,1782,75,2,10,Rush
-14,FALSE,2,1930,130,70,1,15,Pass
-16,FALSE,3,1320,1320,54,1,10,Rush
-3,TRUE,4,49,49,50,3,20,Pass
32,FALSE,4,454,454,39,4,1,Rush
2,TRUE,4,885,885,68,3,5,Pass
7,TRUE,4,81,81,55,3,1,Rush
3,TRUE,1,3016,1216,83,3,6,Rush
0,TRUE,2,1910,110,21,1,10,Pass
11,FALSE,2,2169,369,34,1,10,Pass
-7,TRUE,2,2630,830,67,3,2,Rush
-10,FALSE,2,2700,900,37,3,7,Pass
-31,FALSE,4,330,330,75,1,10,Pass
-31,FALSE,2,1841,41,74,2,9,Rush
3,TRUE,1,2977,1177,78,3,6,Rush
0,TRUE,1,3000,1200,54,2,9,Pass
12,FALSE,3,1190,1190,22,2,10,Rush
0,TRUE,2,2416,616,80,2,8,Pass
0,TRUE,3,1731,1731,3,2,3,Rush
-3,TRUE,4,335,335,44,2,25,Pass
18,FALSE,3,930,930,73,1,10,Rush
-3,TRUE,2,2700,900,36,1,10,Rush
-3,TRUE,1,2761,961,80,1,10,Rush
7,TRUE,1,2887,1087,5,4,1,Rush
-34,FALSE,4,693,693,75,2,10,Rush
-7,TRUE,2,2351,551,71,2,6,Pass
-12,FALSE,3,1594,1594,31,3,4,Rush
-12,FALSE,4,181,181,61,2,6,Pass
-7,TRUE,1,3455,1655,78,3,13,Rush
14,FALSE,1,2932,1132,63,1,10,Rush
8,FALSE,4,612,612,74,2,9,Pass
3,TRUE,2,1872,72,10,2,6,Pass
-4,TRUE,2,2206,406,62,3,27,Pass
18,FALSE,2,1804,4,16,1,10,Rush
0,TRUE,4,454,454,58,2,8,Rush
-7,TRUE,4,52,52,26,3,6,Pass
-21,FALSE,2,2218,418,37,2,5,Pass
4,TRUE,4,233,233,40,1,10,Rush
-17,FALSE,1,2965,1165,39,3,4,Rush
-3,TRUE,3,1370,1370,1,3,1,Rush
3,TRUE,4,554,554,37,2,3,Rush
10,FALSE,4,212,212,80,1,10,Rush
31,FALSE,3,1800,1800,75,1,10,Rush
6,TRUE,3,1623,1623,12,3,1,Rush
-14,FALSE,1,2780,980,55,3,1,Rush
-1,TRUE,3,1527,1527,41,3,27,Rush
-39,FALSE,4,900,900,54,2,5,Pass
-25,FALSE,3,1216,1216,67,2,2,Rush
6,TRUE,2,2028,228,18,2,10,Rush
6,TRUE,2,1858,58,30,1,10,Rush
-16,FALSE,3,1380,1380,54,2,2,Rush
-3,TRUE,3,1062,1062,60,2,7,Pass
-4,TRUE,4,514,514,41,3,1,Rush
14,FALSE,4,105,105,31,1,10,Rush
0,TRUE,1,2853,1053,52,2,8,Rush
-7,TRUE,2,2542,742,44,1,10,Rush
