homeGame,score_differential,oneScoreGame,period,seconds_remaining,secondsInHalf,yardsToGoal,down,distance,play_type
TRUE,-4,TRUE,2,1990,190,75,1,10,Pass
FALSE,-17,FALSE,3,1497,1497,56,1,10,Pass
FALSE,10,FALSE,3,1317,1317,51,3,8,Pass
TRUE,4,TRUE,4,893,893,45,2,6,Pass
FALSE,-41,FALSE,4,101,101,62,3,7,Pass
TRUE,-36,FALSE,3,1512,1512,82,1,10,Pass
FALSE,22,FALSE,2,2127,327,63,2,19,Pass
TRUE,27,FALSE,4,750,750,32,1,10,Pass
FALSE,-21,FALSE,2,2469,669,63,2,10,Pass
FALSE,-6,TRUE,2,2113,313,62,2,10,Pass
TRUE,-7,TRUE,1,3211,1411,90,2,7,Pass
TRUE,-7,TRUE,1,2892,1092,57,3,14,Pass
FALSE,0,TRUE,1,3600,1800,72,1,10,Pass
FALSE,0,TRUE,2,2690,890,32,2,8,Pass
TRUE,-35,FALSE,4,642,642,73,3,8,Pass
FALSE,-7,TRUE,3,1481,1481,89,2,11,Pass
TRUE,25,FALSE,3,1120,1120,75,1,10,Pass
TRUE,11,FALSE,3,936,936,64,2,1,Pass
TRUE,3,TRUE,4,147,147,88,1,15,Pass
TRUE,-14,FALSE,2,2616,816,67,2,15,Pass
FALSE,26,FALSE,2,2027,227,63,2,7,Pass
TRUE,40,FALSE,4,669,669,64,3,16,Pass
TRUE,-18,FALSE,4,114,114,24,3,14,Pass
FALSE,3,TRUE,3,1800,1800,87,2,7,Pass
TRUE,21,FALSE,3,1770,1770,69,2,4,Pass
TRUE,0,TRUE,3,1206,1206,82,1,10,Pass
FALSE,0,TRUE,1,3471,1671,60,2,8,Pass
TRUE,22,FALSE,3,1203,1203,29,2,7,Pass
FALSE,48,FALSE,4,636,636,46,3,5,Pass
TRUE,16,FALSE,3,1060,1060,75,1,10,Pass
FALSE,27,FALSE,2,2097,297,70,3,8,Pass
FALSE,12,FALSE,2,1900,100,51,1,10,Pass
TRUE,0,TRUE,2,2531,731,42,1,15,Pass
TRUE,-14,FALSE,1,3129,1329,72,2,7,Pass
TRUE,-7,TRUE,1,3419,1619,57,2,4,Pass
FALSE,7,TRUE,1,3341,1541,89,1,10,Pass
FALSE,3,TRUE,1,3081,1281,52,1,10,Pass
TRUE,7,TRUE,1,2993,1193,40,4,3,Pass
TRUE,14,FALSE,2,2686,886,36,1,10,Pass
TRUE,10,FALSE,2,2586,786,50,2,10,Pass
FALSE,-10,FALSE,2,2700,900,50,2,16,Pass
TRUE,-13,FALSE,1,2812,1012,53,3,1,Pass
FALSE,-3,TRUE,2,2276,476,10,3,8,Pass
FALSE,-18,FALSE,3,1405,1405,75,1,10,Pass
FALSE,10,FALSE,3,1248,1248,43,2,10,Pass
TRUE,21,FALSE,4,210,210,61,2,16,Pass
TRUE,28,FALSE,2,1837,37,13,1,10,Pass
TRUE,18,FALSE,4,619,619,36,1,10,Pass
FALSE,0,TRUE,2,1869,69,26,1,10,Pass
FALSE,7,TRUE,3,1534,1534,65,2,11,Pass
TRUE,5,TRUE,3,1224,1224,42,3,8,Pass
TRUE,10,FALSE,2,2081,281,56,1,19,Pass
TRUE,21,FALSE,2,2204,404,45,2,11,Pass
FALSE,0,TRUE,1,2984,1184,40,1,10,Pass
TRUE,-14,FALSE,2,2631,831,74,2,9,Pass
FALSE,7,TRUE,1,3274,1474,50,1,10,Pass
TRUE,7,TRUE,1,2987,1187,77,1,10,Pass
TRUE,0,TRUE,2,2673,873,9,3,9,Pass
TRUE,0,TRUE,1,2990,1190,59,2,1,Pass
TRUE,-6,TRUE,1,3034,1234,35,1,10,Pass
TRUE,0,TRUE,2,2579,779,13,1,10,Pass
TRUE,10,FALSE,1,3027,1227,59,1,10,Pass
TRUE,-45,FALSE,3,1056,1056,70,2,5,Pass
FALSE,-7,TRUE,1,3223,1423,51,2,3,Pass
FALSE,-6,TRUE,2,2417,617,42,2,2,Pass
TRUE,-4,TRUE,2,2206,406,82,3,17,Pass
TRUE,22,FALSE,2,2293,493,63,2,7,Pass
TRUE,-13,FALSE,3,1722,1722,54,2,10,Pass
FALSE,-14,FALSE,3,1691,1691,71,3,8,Pass
FALSE,-24,FALSE,4,745,745,75,1,10,Pass
TRUE,3,TRUE,3,1169,1169,29,4,3,Pass
TRUE,-14,FALSE,4,151,151,89,1,10,Pass
FALSE,-7,TRUE,1,3600,1800,74,2,9,Pass
FALSE,-7,TRUE,1,3374,1574,54,2,11,Pass
FALSE,-14,FALSE,1,3113,1313,30,2,7,Pass
FALSE,0,TRUE,1,3066,1266,33,1,10,Pass
FALSE,-7,TRUE,1,3525,1725,71,3,6,Pass
TRUE,28,FALSE,3,1473,1473,72,2,6,Pass
TRUE,-38,FALSE,4,727,727,87,3,8,Pass
FALSE,-35,FALSE,3,1743,1743,69,3,14,Pass
FALSE,-4,TRUE,3,1678,1678,69,3,6,Pass
FALSE,32,FALSE,3,1075,1075,60,3,5,Pass
TRUE,10,FALSE,3,1435,1435,50,1,10,Pass
TRUE,-6,TRUE,3,1416,1416,38,1,10,Pass
TRUE,-21,FALSE,2,2469,669,64,1,10,Pass
FALSE,-7,TRUE,1,3515,1715,52,2,5,Pass
FALSE,-14,FALSE,1,3324,1524,45,2,9,Pass
FALSE,-7,TRUE,1,3561,1761,79,2,14,Pass
FALSE,-4,TRUE,1,3060,1260,59,3,5,Pass
TRUE,-7,TRUE,1,3228,1428,50,4,2,Pass
