home_game,score_differential,oneScoreGame,period,seconds_remaining,secondsInHalf,yard50,yardsToGoal,down,distance,yards_gained,year,play_type
TRUE,7,TRUE,1,2715,915,1,1,1,1,-1,2019,Pass
TRUE,19,FALSE,3,902,902,1,1,2,20,51,2018,Pass
TRUE,17,FALSE,2,1806,6,2,2,3,2,2,2017,Pass
TRUE,18,FALSE,2,2055,255,2,2,1,10,63,2017,Pass
TRUE,7,TRUE,1,3210,1410,3,3,1,3,3,2019,Pass
TRUE,0,TRUE,1,3426,1626,3,3,3,3,0,2015,Pass
TRUE,-14,FALSE,2,2550,750,3,3,1,3,-13,2016,Pass
TRUE,1,TRUE,2,2625,825,3,3,1,3,3,2017,Pass
TRUE,7,TRUE,3,1070,1070,3,3,3,3,-5,2015,Pass
TRUE,35,FALSE,4,566,566,3,3,3,3,3,2016,Pass
TRUE,7,TRUE,1,3440,1640,4,4,1,4,4,2018,Pass
TRUE,28,FALSE,2,1906,106,4,4,2,4,4,2017,Pass
TRUE,-6,TRUE,3,1400,1400,4,4,2,4,0,2016,Pass
TRUE,17,FALSE,1,2849,1049,5,5,2,5,5,2017,Pass
TRUE,35,FALSE,2,1938,138,5,5,1,5,0,2016,Pass
TRUE,14,FALSE,2,2580,780,5,5,1,5,0,2019,Pass
TRUE,21,FALSE,2,2576,776,5,5,2,5,5,2019,Pass
TRUE,-7,TRUE,2,1828,28,5,5,1,5,5,2018,Pass
TRUE,21,FALSE,2,2196,396,5,5,1,5,5,2017,Pass
TRUE,-18,FALSE,3,1146,1146,5,5,3,5,5,2016,Pass
TRUE,-3,TRUE,1,2820,1020,6,6,1,6,4,2016,Pass
TRUE,14,FALSE,1,2825,1025,6,6,2,1,6,2019,Pass
TRUE,10,FALSE,2,1818,18,6,6,2,6,4,2017,Pass
TRUE,10,FALSE,2,2025,225,6,6,3,2,6,2017,Pass
TRUE,6,TRUE,2,1818,18,6,6,1,6,6,2018,Pass
TRUE,56,FALSE,3,1196,1196,6,6,1,6,6,2018,Pass
TRUE,42,FALSE,4,421,421,6,6,2,6,6,2016,Pass
TRUE,14,FALSE,2,2658,858,7,7,3,4,7,2019,Pass
TRUE,28,FALSE,2,1841,41,7,7,2,3,7,2019,Pass
TRUE,8,FALSE,3,1659,1659,7,7,2,2,7,2016,Pass
TRUE,39,FALSE,3,1430,1430,7,7,1,7,7,2016,Pass
TRUE,8,FALSE,3,1535,1535,7,7,1,7,0,2017,Pass
TRUE,8,FALSE,3,1530,1530,7,7,2,7,0,2017,Pass
TRUE,15,FALSE,3,1524,1524,7,7,3,7,7,2017,Pass
TRUE,38,FALSE,4,494,494,7,7,2,7,0,2015,Pass
TRUE,7,TRUE,4,635,635,7,7,3,7,0,2019,Pass
TRUE,16,FALSE,4,379,379,7,7,1,7,0,2018,Pass
TRUE,4,TRUE,4,763,763,7,7,3,5,-98,2019,Pass
TRUE,14,FALSE,1,3060,1260,8,8,2,8,8,2016,Pass
TRUE,14,FALSE,1,3197,1397,8,8,2,4,8,2016,Pass
TRUE,14,FALSE,1,2743,943,8,8,2,6,8,2019,Pass
TRUE,11,FALSE,1,3021,1221,8,8,2,8,8,2017,Pass
TRUE,11,FALSE,2,2700,900,8,8,3,5,0,2017,Pass
TRUE,21,FALSE,3,968,968,8,8,3,4,8,2016,Pass
TRUE,53,FALSE,4,388,388,8,8,3,3,0,2016,Pass
TRUE,7,TRUE,1,3478,1678,9,9,2,9,9,2018,Pass
TRUE,-7,TRUE,1,3223,1423,9,9,1,9,0,2018,Pass
TRUE,18,FALSE,2,1824,24,9,9,1,9,0,2016,Pass
TRUE,25,FALSE,2,1820,20,9,9,2,9,9,2016,Pass
TRUE,17,FALSE,2,1940,140,9,9,1,9,0,2018,Pass
TRUE,14,FALSE,3,1264,1264,9,9,1,9,0,2017,Pass
TRUE,56,FALSE,4,342,342,9,9,3,6,9,2019,Pass
TRUE,0,TRUE,1,3385,1585,10,10,3,9,0,2016,Pass
TRUE,0,TRUE,1,3391,1591,10,10,2,9,0,2016,Pass
TRUE,14,FALSE,1,2778,978,10,10,1,10,10,2015,Pass
TRUE,24,FALSE,2,1827,27,10,10,3,10,0,2018,Pass
TRUE,24,FALSE,2,1831,31,10,10,2,10,0,2018,Pass
TRUE,0,TRUE,2,1827,27,10,10,2,5,10,2016,Pass
TRUE,-4,TRUE,2,2700,900,10,10,3,6,0,2018,Pass
TRUE,14,FALSE,3,1011,1011,10,10,2,6,2,2016,Pass
TRUE,28,FALSE,3,1219,1219,10,10,2,9,10,2018,Pass
TRUE,35,FALSE,4,520,520,10,10,1,10,4,2016,Pass
TRUE,22,FALSE,4,510,510,10,10,2,10,6,2015,Pass
TRUE,7,TRUE,5,0,0,10,10,1,10,10,2018,Pass
TRUE,0,TRUE,1,2721,921,11,11,2,8,0,2018,Pass
TRUE,7,TRUE,1,3440,1640,11,11,1,10,11,2018,Pass
TRUE,7,TRUE,1,2713,913,11,11,3,8,11,2018,Pass
TRUE,14,FALSE,2,2605,805,11,11,2,4,6,2019,Pass
TRUE,28,FALSE,3,1331,1331,11,11,1,10,11,2015,Pass
TRUE,4,TRUE,3,1248,1248,11,11,2,11,0,2018,Pass
TRUE,0,TRUE,4,527,527,11,11,2,6,11,2017,Pass
TRUE,23,FALSE,4,325,325,11,11,3,11,11,2018,Pass
TRUE,28,FALSE,4,815,815,11,11,2,9,11,2017,Pass
TRUE,0,TRUE,1,2985,1185,12,12,1,10,9,2017,Pass
TRUE,3,TRUE,2,2236,436,12,12,1,10,8,2015,Pass
TRUE,7,TRUE,2,2395,595,12,12,2,7,0,2017,Pass
TRUE,7,TRUE,2,2375,575,12,12,3,7,-9,2017,Pass
TRUE,14,FALSE,3,1161,1161,12,12,2,7,12,2016,Pass
TRUE,11,FALSE,4,828,828,12,12,1,10,0,2019,Pass
TRUE,7,TRUE,1,3391,1591,13,13,2,8,13,2017,Pass
TRUE,10,FALSE,1,2934,1134,13,13,2,10,13,2017,Pass
TRUE,0,TRUE,2,2484,684,13,13,2,13,13,2016,Pass
TRUE,10,FALSE,2,1908,108,13,13,1,10,6,2017,Pass
TRUE,11,FALSE,2,2700,900,13,13,1,10,0,2017,Pass
TRUE,11,FALSE,3,1759,1759,13,13,1,10,0,2015,Pass
TRUE,18,FALSE,3,1754,1754,13,13,2,10,13,2015,Pass
TRUE,7,TRUE,1,3441,1641,14,14,1,10,14,2019,Pass
TRUE,0,TRUE,2,2620,820,14,14,3,14,10,2018,Pass
TRUE,17,FALSE,2,2129,329,14,14,2,5,14,2017,Pass
TRUE,21,FALSE,2,1929,129,14,14,2,6,14,2019,Pass
TRUE,32,FALSE,2,1813,13,14,14,1,10,14,2017,Pass
TRUE,14,FALSE,3,1048,1048,14,14,1,10,4,2016,Pass
TRUE,49,FALSE,3,1383,1383,14,14,1,10,14,2019,Pass
TRUE,22,FALSE,3,1001,1001,14,14,3,5,14,2017,Pass
TRUE,0,TRUE,4,761,761,14,14,3,6,0,2018,Pass
TRUE,42,FALSE,4,652,652,14,14,2,4,13,2017,Pass
TRUE,14,FALSE,1,3049,1249,15,15,1,10,15,2017,Pass
TRUE,7,TRUE,1,3155,1355,15,15,3,8,0,2018,Pass
TRUE,14,FALSE,1,2750,950,15,15,1,10,21,2019,Pass
TRUE,7,TRUE,1,2850,1050,15,15,1,10,9,2019,Pass
TRUE,18,FALSE,2,2015,215,15,15,2,3,15,2016,Pass
TRUE,10,FALSE,2,2265,465,15,15,1,10,12,2018,Pass
TRUE,11,FALSE,2,1913,113,15,15,3,5,0,2015,Pass
TRUE,28,FALSE,3,1207,1207,15,15,1,10,13,2015,Pass
TRUE,35,FALSE,3,1721,1721,15,15,2,8,0,2016,Pass
TRUE,35,FALSE,3,1721,1721,15,15,3,8,-7,2016,Pass
TRUE,15,FALSE,3,969,969,15,15,2,10,0,2015,Pass
TRUE,8,FALSE,3,1545,1545,15,15,1,10,13,2017,Pass
TRUE,22,FALSE,3,963,963,15,15,3,10,15,2015,Pass
TRUE,0,TRUE,6,0,0,15,15,2,10,-2,2017,Pass
TRUE,11,FALSE,2,1854,54,16,16,3,4,-1,2016,Pass
TRUE,-14,FALSE,2,2513,713,16,16,2,16,0,2016,Pass
TRUE,-14,FALSE,2,2491,691,16,16,3,16,7,2016,Pass
TRUE,4,TRUE,2,2500,700,16,16,3,16,0,2016,Pass
TRUE,21,FALSE,2,1803,3,16,16,1,10,0,2019,Pass
TRUE,14,FALSE,2,2388,588,16,16,1,10,16,2017,Pass
TRUE,49,FALSE,3,1462,1462,16,16,1,10,2,2018,Pass
TRUE,35,FALSE,3,995,995,16,16,2,8,15,2017,Pass
TRUE,28,FALSE,4,780,780,16,16,2,7,8,2016,Pass
TRUE,11,FALSE,1,2920,1120,17,17,2,9,0,2015,Pass
TRUE,14,FALSE,1,2753,953,17,17,3,2,0,2019,Pass
TRUE,0,TRUE,1,3231,1431,17,17,1,10,0,2015,Pass
TRUE,4,TRUE,1,3086,1286,17,17,1,10,11,2017,Pass
TRUE,7,TRUE,1,3225,1425,17,17,2,10,17,2015,Pass
TRUE,11,FALSE,3,1030,1030,17,17,1,10,-3,2018,Pass
TRUE,14,FALSE,3,940,940,17,17,2,8,17,2015,Pass
TRUE,18,FALSE,4,518,518,17,17,1,10,3,2016,Pass
TRUE,35,FALSE,4,520,520,17,17,2,6,7,2016,Pass
TRUE,0,TRUE,6,0,0,17,17,3,12,7,2017,Pass
TRUE,0,TRUE,1,2998,1198,18,18,3,6,0,2015,Pass
TRUE,0,TRUE,1,2998,1198,18,18,2,6,0,2015,Pass
TRUE,-7,TRUE,2,2546,746,18,18,1,10,13,2016,Pass
TRUE,3,TRUE,2,2285,485,18,18,2,10,0,2018,Pass
TRUE,3,TRUE,2,2291,491,18,18,1,10,0,2018,Pass
TRUE,14,FALSE,2,1955,155,18,18,1,10,4,2019,Pass
TRUE,7,TRUE,3,1089,1089,18,18,3,6,18,2019,Pass
TRUE,12,FALSE,3,1575,1575,18,18,2,9,-2,2015,Pass
TRUE,8,FALSE,3,1485,1485,18,18,2,4,-1,2017,Pass
TRUE,35,FALSE,3,1513,1513,18,18,1,10,18,2017,Pass
TRUE,12,FALSE,4,120,120,18,18,3,10,18,2018,Pass
TRUE,17,FALSE,4,370,370,18,18,3,8,-8,2015,Pass
TRUE,7,TRUE,1,3038,1238,19,19,2,10,0,2019,Pass
TRUE,7,TRUE,1,3030,1230,19,19,3,10,-8,2019,Pass
TRUE,0,TRUE,1,3116,1316,19,19,2,3,0,2018,Pass
TRUE,7,TRUE,1,2813,1013,19,19,2,8,0,2015,Pass
TRUE,7,TRUE,1,2807,1007,19,19,3,8,9,2015,Pass
TRUE,3,TRUE,2,2212,412,19,19,2,19,0,2015,Pass
TRUE,3,TRUE,2,2222,422,19,19,1,19,0,2015,Pass
TRUE,12,FALSE,3,1625,1625,19,19,1,10,1,2015,Pass
TRUE,8,FALSE,3,1485,1485,19,19,3,5,9,2017,Pass
TRUE,-7,TRUE,4,766,766,19,19,1,10,-10,2017,Pass
TRUE,16,FALSE,4,413,413,19,19,2,9,12,2018,Pass
TRUE,-14,FALSE,4,508,508,19,19,1,10,19,2018,Pass
TRUE,7,TRUE,1,3296,1496,20,20,2,3,12,2019,Pass
